venue,hindex
journal of proteomics bioinformatics,1
journal of psychiatric research,2
journal of psychological issues in organizational culture,1
journal of public affairs,1
journal of public health management and practice,1
journal of quality assurance in hospitality tourism,1
journal of quality in maintenance engineering,3
journal of quality management,1
journal of radio audio media,1
journal of receptors and signal transduction,1
journal of relationship marketing,2
journal of renal care,1
journal of renewable and sustainable energy,2
journal of research in interactive marketing,3
journal of research in science computing and engineering,1
journal of research on educational effectiveness,1
journal of retailing and consumer services,4
journal of risk finance,2
journal of robotics,7
journal of saudi chemical society,1
journal of school violence,1
journal of science and technology policy in china,1
journal of scientific computing,7
journal of semiconductors,1
journal of sensors,8
journal of sexual aggression,1
journal of shanghai jiaotong university (science),4
journal of shanghai university (english edition),3
journal of signal processing,3
journal of simulation,2
journal of small business and enterprise development,1
journal of social and biological systems,1
journal of social and evolutionary systems,1
journal of social philosophy,1
journal of social sciences,1
journal of socio economics,1
journal of software engineering,2
journal of software engineering and applications,6
journal of software evolution and process,2
journal of solid mechanics and materials engineering,1
journal of soviet mathematics,3
journal of spatial information science,5
journal of sport management,1
journal of sports science and medicine,3
journal of statistics education,1
journal of strategic marketing,2
journal of structural and construction engineering (transactions of aij),1
journal of structural and functional genomics,1
journal of supply chain management,1
journal of sustainable forestry,1
journal of system design and dynamics,4
journal of targeting measurement and analysis for marketing,2
journal of teaching in travel tourism,1
journal of technology in human services,1
journal of technology management in china,1
journal of the academy of nutrition and dietetics,1
journal of the american academy of child psychiatry,1
journal of the american academy of religion,1
journal of the american college of radiology,1
journal of the association for information systems,3
journal of the chinese institute of industrial engineers,4
journal of the energy institute,1
journal of the ergonomics society of korea,3
journal of the forensic science society,1
journal of the history of biology,1
journal of the illuminating engineering society,1
journal of the indian society of remote sensing,5
journal of the institute of engineering,1
journal of the iranian chemical society,1
journal of the japan society for aeronautical and space sciences,2
journal of the japan society for precision engineering,6
journal of the japanese physical therapy association,1
journal of the knowledge economy,2
journal of the korean chemical society,1
journal of the korean institute of illuminating and electrical installation engineers,3
journal of the korean society for aeronautical space sciences,2
journal of the korean society for applied biological chemistry,1
journal of the korean society for information management,4
journal of the korean society for library and information science,2
journal of the operations research society of japan,2
journal of the society of naval architects of korea,1
journal of theoretical and applied mechanics,2
journal of theoretical and philosophical psychology,1
journal of theoretical medicine,1
journal of transnational management,1
journal of transportation safety security,2
journal of transportation security,1
journal of transportation systems engineering and information technology,2
journal of travel tourism marketing,2
journal of tropical medicine,1
journal of urban and environmental engineering,1
journal of vacation marketing,1
journal of verbal learning and verbal behavior,1
journal of vibration and acoustics,2
journal of visceral surgery,1
journal of visual art practice,1
journal of visualized experiments,1
journal of vocational education training,1
journal of web librarianship,1
journal of website promotion,1
journal of wine research,1
journal of world intellectual property,1
journal of world prehistory,1
journal of writing in creative practice,1
journal of zhejiang university science,8
journal on chain and network science,1
journal on computing and cultural heritage,7
journal on multimodal user interfaces,10
journal stud,1
journalism practice,1
jphotov,1
jpl,1
jpn circ j,1
jpn econ rev,1
jpn j appl phys,3
jpn j clin oncol,1
jpn j ind appl math,2
jpn j physiol,1
jpn psychol res,2
jpn world econ,1
jql,4
jsa,5
jsac,5
jsat,4
jsc,7
jsi,3
jsme int j a solid mech mat e,1
jsme int j c,5
jsme int j ser b,1
jsps,11
jss,9
jsspp,2
jsw,9
jsyml,3
jtres,1
judgment and decision making,2
jurix,4
jvca,3
jvcir,17
jwe,4
jwsr,4
k cap,1
k-cap,9
k4help,1
kagaku kogaku ronbunshu,1
kais,20
kaohsiung j med sci,1
kathmandu university journal of science engineering and technology,2
kbs,59
kdd,18
kdir,2
keio journal of medicine,1
keod,2
ker,21
key eng mat,1
kidney int,1
kind en adolescent praktijk,1
kinesiology,1
kivs,2
kmis,5
knee surg sports traumatol ar,1
knowl manag aquat ecosyst,2
knowledge acquisition,7
knowledge and process management,2
knowledge management research practice,5
knowledge organization,1
knowledge technology policy,2
kognitionswissenschaft,4
kolner z soziol sozialpsychol,1
korean j chem eng,3
korean j radiol,1
korean journal for food science of animal resources,1
korean journal of health policy and administration,1
korean journal of optics and photonics,1
korean journal of urology,1
kr,19
ksce j civ eng,4
kse,5
ksem,18
ksme international journal,2
kybernetes,6
kybernetika,2
la-web,4
lab chip,1
lab invest,1
lab robotics automation,1
labmedicine,1
laboratory automation information management,1
laboratory phonology,1
labour,1
labour econ,1
lacl,4
ladc,1
lake reserv manag,1
lakes reservoirs research management,1
lancet infect dis,1
lancet neurol,1
land degrad dev,1
land use policy,2
landsc ecol eng,1
landsc res,1
landscape ecol,2
landscape urban plan,3
landslides,2
lang assess q,1
lang cognitive process,5
lang commun,2
lang intercult commun,1
lang learn,2
lang matters,2
lang sci,3
lang speech,2
lang speech hearing serv sch,1
lang teach,1
lang test,1
lang var chang,1
langenbecks arch surg,1
langmuir,1
language,3
language and cognition,2
language and education,1
language and linguistics,1
language and linguistics compass,7
language learning and development,2
language learning technology,2
languages in contrast,1
laryngo rhino otol,1
laser med sci,1
laser physics review,1
laser surg med,2
lat am j aquat res,1
lata,4
latin,3
latin american applied research,2
latin american business review,1
law hum behav,1
law probability and risk,3
lcn,3
lcpc,2
lctes,2
ldv,5
le praticien en anesthesie reanimation,1
leadership organization development journal,1
leadership quarterly,2
learn behav,3
learn individ differ,1
learn instr,2
learn memory,2
learn motiv,1
learned publishing,1
learning media and technology,1
learning organization,3
lecture notes in control and information sciences,2
leg med,1
legal criminol psychol,1
legal information management,1
legis stud quart,1
leis stud,1
leisure sci,1
leonardo,2
leonardo music journal,1
lethaia,1
lett appl microbiol,1
lett math phys,2
letters in spatial and resource sciences,1
leukemia,1
leukos,1
lexikos,1
libr hi tech,3
libr quart,1
library management,2
library review,2
libri,1
libt,2
lics,6
lid,3
life,1
life sci,1
lifetime data anal,1
limnol oceanogr,2
limnology,2
linear algebra appl,5
linear multilinear algebra,2
ling phil,3
lingua,4
lingua posnaniensis,1
linguist inq,3
linguist prag,1
linguistic and philosophical investigations,1
linguistic discovery,1
linguistic issues in language technology,2
linguistic typology,1
linguistics,2
linguistics and education,1
linguistics and the human sciences,2
linguistics in the netherlands,1
lingvisticae investigationes,3
linux journal,2
lion,10
lipids,1
lipids health dis,1
liq cryst,1
liquid crystals today,1
lisa,2
literary and linguistic computing,5
lith math j,2
liver int,1
liver transplant,1
livest prod sci,1
livest sci,2
lmcs,3
lms journal of computation and mathematics,1
lncs,9
lobjet,1
loca,4
local govt stud,2
location science,1
lodz papers in pragmatics,1
logcom,13
logica universalis,5
login,1
logique et analyse,2
logistics information management,2
logistics research,3
logop phoniatr vocology,1
logos,1
logos a journal of catholic thought and culture,1
london review of education,1
long range plann,1
loplas,1
lopstr,6
lpnmr,3
lre,3
lrec,17
lung cancer,1
lwt food science and technology,2
m som manufacturing service operations management,1
ma,6
mabs,5
mace,2
macedonian journal of medical sciences,1
mach sci technol,2
machine intelligence and pattern recognition,8
machine translation,26
macroecon dyn,1
macromol symposia,1
macromol theory simul,1
macromolecules,2
maejo international journal of science and technology,1
magn reson chem,1
magn reson imaging,7
magn reson imaging clin n am,1
magn reson mater phys biol m,3
magn reson med,3
magnetic resonance in medical sciences,2
mags,9
maics,2
malar j,1
malaysian journal of library information science,1
mamm biol,1
mamm genome,1
mammalia,1
man ther,1
manage decision,3
manage int rev wiesbaden,1
manage learning,1
manage sci,8
management accounting research,1
management and business administration central europe,1
management avenir,1
management of environmental quality an international journal,1
management research news,2
managerial and decision economics,1
managerial auditing journal,2
managerial finance,1
managing leisure,1
managing service quality,2
manch sch,1
manufacturing research and technology,3
manufacturing service operations management,2
manuscr math,1
mapan j metrol soc india,1
mar biol,1
mar biotechnolog,1
mar drugs,1
mar ecol progr ser,1
mar environ res,1
mar freshwater res,1
mar geodesy,2
mar geology,1
mar geophys res,1
mar georesour geotechnol,1
mar mammal sci,1
mar micropaleontol,1
mar petrol geol,1
mar policy,1
mar pollut bull,2
mar struct,1
mar technol soc j,2
marine biodiversity,1
marine geology quaternary geology,1
marine technology and sname news,1
maritime policy management,2
mark lett,2
mark theory,1
market rev,1
marketing intelligence planning,4
markup languages,1
mascots,2
mass,4
mass commun soc,1
mass spectrom rev,1
match communications in mathematical and in computer chemistry,1
mater charact,2
mater chem phys,1
mater corros,2
mater design,4
mater lett,1
mater manuf process,3
mater res bull,1
mater res innov,1
mater sci eng a struct mater,2
mater sci engl tr,1
mater sci forum,1
mater sci semicond process,1
mater sci technol,1
mater struct,2
materials,2
materials research,1
materials science and engineering c,1
materials sciences and applications,1
materialwiss werkstofftech,1
mates,9
math ann,1
math biosci,4
math biosci eng,2
math comput,2
math comput model dynam syst,3
math comput modelling,11
math control signal syst,2
math financ,1
math geol,4
math intell,3
math med biol,1
math meth appl sci,6
math methods oper res,3
math model anal,2
math nachr,1
math popul stud,1
math probl eng,17
math res lett,1
math slovaca,2
math z,1
mathematical communications,1
mathematical methods of statistics,2
mathematical modelling and numerical analysis,2
mathematical modelling of natural phenomena,2
mathematical models and computer simulations,1
mathematical programming,5
mathematical programming computation,5
mathematical social sciences,6
mathematical thinking and learning,1
mathematics and computers in simulation,6
mathematics magazine,1
mathematika,1
mathematische semesterberichte,1
matrix biology,1
maturitas,1
mayo clin proc,1
mbio,1
mccr,3
mcdm,3
mco,2
mcpr,9
mcu,2
mdai,7
mdm,4
meas sci rev,2
meas sci technol,6
meas tech engl tr,2
measurement,7
measurement in physical education and exercise science,1
